Sum of MAXPERFORMANCE,Column Labels,,,,,,,,
Row Labels,1,10,100,1000,10000,100000,500000,1000000,Grand Total
1,1.31,7.59,13.89,15.34,15.43,15.34,15.34,15.1,99.34
2,0.52,6.23,19.36,29.58,30.41,30.47,30.27,30.34,177.18
4,0.47,4.42,28.91,53.15,41.01,60.83,60.85,60.7,310.34
8,0.38,3.83,27.36,69.09,80.3,89.46,121.2,120.74,512.36
Grand Total,2.68,22.07,89.52,167.16,167.15,196.1,227.66,226.88,1099.22
,,,,,,,,,
,,,,,,,,,
,1,10,100,1000,10000,100000,500000,1000000,
1,1.31,7.59,13.89,15.34,15.43,15.34,15.34,15.1,
2,0.52,6.23,19.36,29.58,30.41,30.47,30.27,30.34,
4,0.47,4.42,28.91,53.15,41.01,60.83,60.85,60.7,
8,0.38,3.83,27.36,69.09,80.3,89.46,121.2,120.74,